variables,units,values,description
rotorse.re.precomp.edge_iner,kg/m,"[1.03297164e+04 8.63336328e+03 6.31802625e+03 4.85999862e+03
 3.48825940e+03 2.53536438e+03 2.01313320e+03 1.80901903e+03
 1.67006214e+03 1.58201475e+03 1.45516358e+03 1.29671912e+03
 1.13214407e+03 9.43195117e+02 7.54811125e+02 5.94663407e+02
 4.65367359e+02 3.45293949e+02 2.39895599e+02 1.60894915e+02
 1.18613245e+02 9.32766112e+01 7.31773242e+01 5.71154051e+01
 3.41450844e+01 2.13970062e+01 1.37141291e+01 9.58012261e+00
 6.14605336e+00 1.08856003e-01]",Section lag inertia about the X_G axis per unit length
rotorse.re.precomp.blade_mass,kg,[69911.65429173],mass of one blade
rotorse.re.precomp.blade_moment_of_inertia,kg*m**2,[1.18365826e+08],mass moment of inertia of blade about hub
rotorse.re.precomp.mass_all_blades,kg,[209734.96287519],mass of all blades
rotorse.re.precomp.I_all_blades,kg*m**2,"[3.55097477e+08 1.77548739e+08 1.77548739e+08 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","mass moments of inertia of all blades in hub c.s. order:Ixx, Iyy, Izz, Ixy, Ixz, Iyz"
rotorse.re.sc_ss_mats,,"[[1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]]","spar cap, suction side,  boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.re.sc_ps_mats,,"[[1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]]","spar cap, pressure side, boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.re.te_ss_mats,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]","trailing edge reinforcement, suction side,  boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.re.te_ps_mats,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]","trailing edge reinforcement, pressure side, boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.rp.powercurve.pitch,deg,"[ 3.84697159  3.51941158  2.51819163  1.47196019  0.67527792  0.28040509
  0.19892285  0.          0.          0.          0.          0.
  3.48252984  7.62506575 10.68114284 13.40647104 15.95821676 18.38706061
 20.7072765  22.91771172]",rotor pitch schedule
rotorse.rp.powercurve.P_aero,W,"[   43033.44519584   792160.34340092  1805204.37181068  2847030.05787624
  3673166.62042011  4091357.62150978  4178231.06762665  4807906.7449765
  6110963.90272511  8374555.08828773 12042575.40639557 15664778.54229792
 15664782.94266032 15664851.89403279 15664779.66171323 15664778.69128524
 15664540.19451343 15664884.80741856 15664798.78530563 15664782.41085577]",rotor mechanical power
rotorse.rp.powercurve.T,N,"[ 204021.49209943  397808.61364493  616969.14369172  809394.59555918
  945886.86914792 1010958.85469751 1024186.6507504  1113748.62602138
 1306841.65781475 1612343.80573037 2054137.00899601 2426256.60916036
 1972669.64633449 1545279.63429527 1304160.56474634 1134228.25979376
 1006920.68294565  909107.47337767  832969.5220466   773411.28849186]",rotor aerodynamic thrust
rotorse.rp.powercurve.Q,N*m,"[   82187.8262543   1512914.81248356  3447686.38877723  5437426.88210651
  7015231.49328014  7813917.47303977  7979833.53351491  8984668.32593048
 10542359.89670192 13006861.6772217  16570830.51835221 19947034.31844025
 19947039.92172277 19947127.72222307 19947035.74386836 19947034.508156
 19946730.81389826 19947169.63308913 19947060.09524702 19947039.24453966]",rotor aerodynamic torque
rotorse.rp.powercurve.M,N*m,"[ 5981739.24945999 10960885.74081502 16616523.43631498 21595810.99882761
 25140931.32652801 26836885.4959571  27182221.08561996 29527285.0376275
 34646494.93412802 42745853.07505436 54458508.45862249 64276677.15724555
 51180335.39579402 38031855.04618962 30010291.75233477 23905879.8231156
 18946241.26461879 14789295.67549444 11240939.27911816  8177099.32043198]",blade root moment
rotorse.rp.powercurve.Cp,,"[0.05467701 0.34855212 0.41502142 0.43453123 0.44062891 0.44227632
 0.44253498 0.44411203 0.44636921 0.447325   0.44487349 0.44365911
 0.39152837 0.26396532 0.17907353 0.12326114 0.08652307 0.06211885
 0.04567684 0.03441828]",rotor electrical power coefficient
rotorse.rp.powercurve.Cp_aero,,"[0.05714262 0.36426973 0.4337364  0.45412598 0.46049863 0.46222033
 0.46249065 0.4632403  0.4632403  0.4632403  0.4632403  0.46332145
 0.40888035 0.27566388 0.18700982 0.12872389 0.09035764 0.06487187
 0.04770118 0.03594364]",rotor aerodynamic power coefficient
rotorse.rp.powercurve.Ct_aero,,"[0.81273915 0.78148402 0.78626516 0.78497487 0.7812744  0.77904129
 0.77855991 0.77183886 0.77183886 0.77183886 0.77183886 0.76515265
 0.57236736 0.34473236 0.22462792 0.15229874 0.10679052 0.07730495
 0.05770382 0.04436579]",rotor aerodynamic thrust coefficient
rotorse.rp.powercurve.Cq_aero,,"[0.00271938 0.0246858  0.03649389 0.04380017 0.0481275  0.05001297
 0.05038411 0.05171641 0.05171641 0.05171641 0.05171641 0.05224883
 0.0480713  0.03696087 0.02853632 0.02224647 0.01757098 0.01408835
 0.01147734 0.00950393]",rotor aerodynamic torque coefficient
rotorse.rp.powercurve.Cm_aero,,"[0.19791997 0.17884567 0.17588655 0.17396098 0.17247757 0.17176947
 0.17162665 0.16996122 0.16996122 0.16996122 0.16996122 0.16836493
 0.12334186 0.07047082 0.04293285 0.02666168 0.01668965 0.01044543
 0.00646792 0.00389604]",rotor aerodynamic moment coefficient
rotorse.rp.powercurve.V_R25,m/s,[10.55555556],region 2.5 transition wind speed
rotorse.rp.powercurve.rated_V,m/s,[10.66235674],rated wind speed
rotorse.rp.powercurve.rated_Omega,rpm,[7.49924093],rotor rotation speed at rated
rotorse.rp.powercurve.rated_pitch,deg,[0.],pitch setting at rated
rotorse.rp.powercurve.rated_T,N,[2426256.60916036],rotor aerodynamic thrust at rated
rotorse.rp.powercurve.rated_Q,N*m,[19947034.31844025],rotor aerodynamic torque at rated
rotorse.rp.powercurve.rated_mech,W,[15664778.54229792],Mechanical shaft power at rated
rotorse.rp.powercurve.ax_induct_regII,,"[0.07330696 0.03896581 0.06006229 0.16982355 0.22441649 0.25907903
 0.28726841 0.30389375 0.30844595 0.30687193 0.30656808 0.3062436
 0.30279598 0.30037217 0.29933067 0.29590995 0.29428475 0.29228415
 0.29079495 0.28896    0.28676561 0.28898737 0.29384459 0.29734511
 0.29718018 0.28934637 0.28524345 0.29211351 0.33881785 0.14736556]",rotor axial induction at cut-in wind speed along blade span
rotorse.rp.powercurve.tang_induct_regII,,"[-0.07324856 -0.02486994  0.01806524  0.07194893  0.06419348  0.0523163
  0.04356625  0.03559646  0.02873163  0.02332193  0.01935604  0.01631936
  0.0138609   0.01193702  0.01043979  0.00913504  0.00810036  0.00728281
  0.00653925  0.00584403  0.00534451  0.00486709  0.00452719  0.00418663
  0.00386167  0.00352054  0.00324034  0.00305323  0.00305827  0.00168034]",rotor tangential induction at cut-in wind speed along blade span
rotorse.rp.powercurve.aoa_regII,deg,"[53.57946346 43.56759917 31.46470765 19.93549998 14.68697776 11.84638338
  9.97861483  8.73772218  8.13828069  7.88087014  7.68578366  7.51535541
  7.4070431   7.31002937  7.21992298  7.18579573  7.1403419   7.09971807
  7.06830196  7.07541696  7.15602326  7.3218613   7.55444525  7.75710874
  7.82380526  7.71515274  7.48908827  7.1026078   6.31634439  7.10928941]",angle of attack distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.L_D,,"[2.85714286e-04 1.81465620e-01 1.64967058e+00 8.52166429e+00
 1.64004961e+01 2.62773498e+01 5.04066361e+01 7.93320794e+01
 9.01798725e+01 8.85465258e+01 8.92951133e+01 8.99443752e+01
 8.96778287e+01 9.06080754e+01 9.57573292e+01 9.58755296e+01
 9.92105329e+01 1.14156686e+02 1.16939548e+02 1.05868144e+02
 1.22181083e+02 1.13302685e+02 1.22335987e+02 1.21680614e+02
 1.22100770e+02 1.21906481e+02 1.21914738e+02 1.21610263e+02
 1.20605603e+02 1.21642728e+02]",Lift over drag distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.Cp_regII,,[0.4632403],power coefficient at cut-in wind speed
rotorse.rp.powercurve.cl_regII,,"[1.00000000e-04 6.50907629e-02 5.52432355e-01 1.68592282e+00
 1.85402854e+00 1.80495652e+00 1.72398626e+00 1.63200511e+00
 1.55100398e+00 1.48780880e+00 1.44539928e+00 1.40495598e+00
 1.35915340e+00 1.32511385e+00 1.30131038e+00 1.27661564e+00
 1.25974631e+00 1.24501049e+00 1.23511455e+00 1.22876325e+00
 1.22666053e+00 1.23945270e+00 1.26152919e+00 1.28254490e+00
 1.29469737e+00 1.28011595e+00 1.25483008e+00 1.21050173e+00
 1.12501217e+00 1.21151547e+00]",lift coefficient distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.cd_regII,,"[0.35       0.35869474 0.33487435 0.19783962 0.1130471  0.06868868
 0.03420157 0.02057182 0.017199   0.01680257 0.01618677 0.01562028
 0.01515596 0.01462468 0.01358967 0.01331534 0.01269771 0.01090615
 0.01056199 0.01160654 0.01003969 0.01093931 0.010312   0.01054026
 0.01060352 0.0105008  0.01029269 0.00995394 0.00932803 0.00995962]",drag coefficient distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.rated_efficiency,,[0.95756221],Efficiency at rated conditions
rotorse.rp.powercurve.V_spline,m/s,"[ 3.          3.11055276  3.22110553  3.33165829  3.44221106  3.55276382
  3.66331658  3.77386935  3.88442211  3.99497487  4.10552764  4.2160804
  4.32663317  4.43718593  4.54773869  4.65829146  4.76884422  4.87939698
  4.98994975  5.10050251  5.21105528  5.32160804  5.4321608   5.54271357
  5.65326633  5.7638191   5.87437186  5.98492462  6.09547739  6.20603015
  6.31658291  6.42713568  6.53768844  6.64824121  6.75879397  6.86934673
  6.9798995   7.09045226  7.20100503  7.31155779  7.42211055  7.53266332
  7.64321608  7.75376884  7.86432161  7.97487437  8.08542714  8.1959799
  8.30653266  8.41708543  8.52763819  8.63819095  8.74874372  8.85929648
  8.96984925  9.08040201  9.19095477  9.30150754  9.4120603   9.52261307
  9.63316583  9.74371859  9.85427136  9.96482412 10.07537688 10.18592965
 10.29648241 10.40703518 10.51758794 10.6281407  10.73869347 10.84924623
 10.95979899 11.07035176 11.18090452 11.29145729 11.40201005 11.51256281
 11.62311558 11.73366834 11.84422111 11.95477387 12.06532663 12.1758794
 12.28643216 12.39698492 12.50753769 12.61809045 12.72864322 12.83919598
 12.94974874 13.06030151 13.17085427 13.28140704 13.3919598  13.50251256
 13.61306533 13.72361809 13.83417085 13.94472362 14.05527638 14.16582915
 14.27638191 14.38693467 14.49748744 14.6080402  14.71859296 14.82914573
 14.93969849 15.05025126 15.16080402 15.27135678 15.38190955 15.49246231
 15.60301508 15.71356784 15.8241206  15.93467337 16.04522613 16.15577889
 16.26633166 16.37688442 16.48743719 16.59798995 16.70854271 16.81909548
 16.92964824 17.04020101 17.15075377 17.26130653 17.3718593  17.48241206
 17.59296482 17.70351759 17.81407035 17.92462312 18.03517588 18.14572864
 18.25628141 18.36683417 18.47738693 18.5879397  18.69849246 18.80904523
 18.91959799 19.03015075 19.14070352 19.25125628 19.36180905 19.47236181
 19.58291457 19.69346734 19.8040201  19.91457286 20.02512563 20.13567839
 20.24623116 20.35678392 20.46733668 20.57788945 20.68844221 20.79899497
 20.90954774 21.0201005  21.13065327 21.24120603 21.35175879 21.46231156
 21.57286432 21.68341709 21.79396985 21.90452261 22.01507538 22.12562814
 22.2361809  22.34673367 22.45728643 22.5678392  22.67839196 22.78894472
 22.89949749 23.01005025 23.12060302 23.23115578 23.34170854 23.45226131
 23.56281407 23.67336683 23.7839196  23.89447236 24.00502513 24.11557789
 24.22613065 24.33668342 24.44723618 24.55778894 24.66834171 24.77889447
 24.88944724 25.        ]",wind vector
rotorse.rp.powercurve.P_spline,W,"[   41176.62625634    83060.44641319   129788.92194819   181059.48914574
   236569.58429026   296016.64366613   359098.10355776   425511.40024955
   494953.9700259    567123.24917121   641716.67396988   718431.68070632
   797633.85796743   883031.74920514   974769.05267654  1072275.7152406
  1174981.68375629  1282316.90508258  1393711.32607843  1508594.89360283
  1626397.55451473  1746625.35076166  1872472.00641086  2005293.03317489
  2144287.4419863   2288654.24377767  2437592.44948154  2590301.07003048
  2746044.733727    2908060.71018462  3077380.69497982  3252424.11030844
  3431610.37836632  3614744.773973    3805677.71111265  4001198.88442978
  4203533.10673344  4410641.23421482  4625994.34074279  4848775.71362849
  5077186.95838333  5311830.34863655  5553308.15801742  5802222.66015519
  6058745.93487354  6321829.88002624  6591484.88121405  6867825.14629459
  7150964.88312549  7441018.29956438  7738099.60346892  8042323.0026967
  8353717.34175392  8672211.24387535  8997846.7072118   9330667.91629402
  9670719.05565273 10018044.30981867 10372687.86332257 10734693.90069518
 11104106.60646721 11480970.16516942 11897923.97448388 12404491.84155519
 12960805.77043035 13524039.63267799 14051367.29986673 14499962.64356522
 14826999.53534209 14989651.84676594 15000001.05693051 15000002.02186211
 15000002.73471041 15000003.6607071  15000005.36019187 15000008.4137677
 15000012.65240694 15000017.84009932 15000023.74083456 15000030.11860238
 15000036.73739251 15000043.36119465 15000049.75399855 15000055.67979391
 15000060.90257046 15000065.18631792 15000068.29502602 15000069.99268446
 15000070.06498492 15000068.58417324 15000065.76427101 15000061.81181039
 15000056.93332354 15000051.3353426  15000045.22439972 15000038.80702706
 15000032.28975677 15000025.879121   15000019.7816519  15000014.20388163
 15000009.35234232 15000005.43356615 15000002.65408525 15000001.22043177
 15000001.00821091 15000000.92004201 15000000.84689614 15000000.78664833
 15000000.73717358 15000000.69634691 15000000.66204335 15000000.63213791
 15000000.6045056  15000000.57702144 15000000.54756045 15000000.51399765
 15000000.47420804 15000000.42606665 15000000.3674485  15000000.2962286
 15000000.21028196 14999999.89365753 14999996.64972226 14999990.00017392
 14999980.37563054 14999968.20671013 14999953.92403069 14999937.95821025
 14999920.73986681 14999902.69961839 14999884.268083   14999865.87587865
 14999847.95362335 14999830.93193512 14999815.24143197 14999801.31273191
 14999789.57645296 14999780.46321313 14999774.40363042 14999771.82832285
 14999773.50543429 14999779.96425444 14999790.68444717 14999805.12567147
 14999822.74758631 14999843.00985068 14999865.37212358 14999889.29406398
 14999914.23533088 14999939.65558326 14999965.01448011 14999989.77168041
 15000013.38684316 15000035.31962732 15000055.02969191 15000071.97669589
 15000085.62029826 15000095.420158   15000100.83593411 15000101.66864834
 15000100.72282577 15000098.82140092 15000096.06770323 15000092.56506212
 15000088.41680703 15000083.72626739 15000078.59677262 15000073.13165216
 15000067.43423542 15000061.60785185 15000055.75583088 15000049.98150192
 15000044.38819442 15000039.0792378  15000034.15796148 15000029.72769491
 15000025.89176751 15000022.7535087  15000020.41624792 15000018.92246127
 15000017.6485897  15000016.40779578 15000015.2035667  15000014.03938967
 15000012.91875187 15000011.8451405  15000010.82204275 15000009.85294582
 15000008.9413369  15000008.09070318 15000007.30453187 15000006.58631015
 15000005.93952522 15000005.36766427 15000004.8742145  15000004.4626631
 15000004.13649726 15000003.89920419 15000003.75427107 15000003.70518509]",rotor electrical power
rotorse.rp.powercurve.Omega_spline,rpm,"[5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.00000561
 5.01908661 5.06297582 5.11381445 5.17410995 5.24973748 5.33464692
 5.42278814 5.508111   5.58724192 5.66578462 5.74432732 5.82287002
 5.90141271 5.97995541 6.05849811 6.13704081 6.21592646 6.29556428
 6.37566026 6.4559096  6.53600747 6.61564906 6.69452955 6.77234412
 6.84878796 6.92355626 7.00108031 7.08855029 7.18043631 7.27078339
 7.35363652 7.42304072 7.47304098 7.4976823  7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093]",omega
