variables,units,values,description
drivese.nose_mass,kg,[6732.59013628],
drivese.nose_cm,m,[0.65],
drivese.nose_I,kg*m**2,[7439.51210058 4667.92916115 4667.92916115],
drivese.lss_mass,kg,[21455.50702769],
drivese.lss_cm,m,[1.8],
drivese.lss_I,kg*m**2,[45163.84229329 38673.55141741 38673.55141741],
drivese.converter_mass,kg,[11983.85],
drivese.converter_cm,m,[0.         5.06678317 1.81678317],
drivese.converter_I,kg*m**2,[26370.07124397 26370.07124397 26370.07124397],
drivese.transformer_mass,kg,[30635.],
drivese.transformer_cm,m,[ 0.         -5.06678317  1.81678317],
drivese.transformer_I,kg*m**2,[67411.31877977 67411.31877977 67411.31877977],
drivese.yaw_mass,kg,[28279.92605502],
drivese.yaw_cm,m,[0. 0. 0.],
drivese.yaw_I,kg*m**2,[0. 0. 0.],
drivese.bedplate_mass,kg,[41606.30541701],
drivese.bedplate_cm,m,[-1.25732231  0.          2.60598411],
drivese.bedplate_I,kg*m**2,"[542794.32425984 649566.15059039 391772.31821513      0.
 170516.03317744      0.        ]",
drivese.hvac_mass,kg,[9381.28122601],
drivese.hvac_cm,m,[1.225],
drivese.hvac_I,m,[148718.22498385  74359.11249192  74359.11249192],
drivese.platform_mass,kg,[48672.],
drivese.platform_cm,m,[0. 0. 0.],
drivese.platform_I,m,[ 685470.4896  685470.4896 1370928.    ],
drivese.cover_mass,kg,[20157.71670646],
drivese.cover_cm,m,[-0.24005629  0.          5.83959114],
drivese.cover_I,m,[1568.16047016 1138.26733646 1138.26733646],
drivese.x_bedplate,m,"[ 0.         -0.04886854 -0.19447933 -0.43386816 -0.76216176 -1.17267703
 -1.65705704 -2.20544123 -2.80666608 -3.44849237 -4.11785438 -4.80112582]",
drivese.constr_height,m,[4.85407807],
drivese.uptower,Unavailable,True,
drivese.L_drive,m,[3.3],
drivese.shaft_start,m,[-4.80112582  0.          4.85407807],
drivese.blades_mass,kg,[206079.57719994],
drivese.hub_system_mass,kg,[73590.62820122],
drivese.nacelle_mass,kg,[673614.28873941],
drivese.hub_system_cm,m,[3.35390383],
drivese.nacelle_cm,m,[-4.52183301 -0.14028998  4.09560001],
drivese.hub_system_I,kg*m**2,"[1040344.83875968  653239.43882073  653239.43882073       0.
       0.               0.        ]",
drivese.nacelle_I_TT,kg*m**2,"[2.12226053e+07 3.59229445e+07 2.41365268e+07 7.86163564e+02
 1.49564122e+07 1.70976373e+05]",
drivese.s_lss,m,[0.3 0.8 1.3 2.3 3.3],
drivese.F_hub,N,"[[3766826.13956795]
 [  20128.21083879]
 [  38395.9314048 ]]",
drivese.M_hub,N*m,"[[71074808.45415176]
 [ 3059752.33731468]
 [10108440.29802619]]",
drivese.s_mb1,m,[1.3],
drivese.s_mb2,m,[0.3],
drivese.carrier_mass,kg,[0.],
drivese.carrier_I,kg*m**2,[0. 0. 0.],
drivese.lss_E,Pa,[2.05e+11],
drivese.lss_G,Pa,[8.e+10],
drivese.lss_Xy,Pa,[4.85e+08],
drivese.s_nose,m,[0.   0.15 0.3  0.8  1.3 ],
drivese.z_bedplate,m,"[0.         0.69080734 1.36755183 2.01645691 2.62431274 3.17874513
 3.66846744 4.08351033 4.41542472 4.6574538  4.80467056 4.85407807]",
drivese.x_bedplate_inner,m,"[-3.25       -3.26578822 -3.31283149 -3.39017215 -3.49623574 -3.62886314
 -3.78535443 -3.96252389 -4.15676487 -4.36412318 -4.5803776  -4.80112582]",
drivese.z_bedplate_inner,m,"[0.         0.53426101 1.05764601 1.55950039 2.02960784 2.45839832
 2.83714291 3.15813144 3.41482953 3.60201153 3.71586697 3.75407807]",
drivese.x_bedplate_outer,m,"[ 3.25        3.16805115  2.92387283  2.52243582  1.97191222  1.28350909
  0.47124034 -0.44835858 -1.45656728 -2.53286156 -3.65533115 -4.80112582]",
drivese.z_bedplate_outer,m,"[0.         0.84735366 1.67745764 2.47341342 3.21901764 3.89909194
 4.49979197 5.00888921 5.41601992 5.71289607 5.89347414 5.95407807]",
drivese.D_bedplate,m,"[6.5        6.44145295 6.26742749 5.98282291 5.59601088 5.1192772
 4.56979222 3.97173289 3.36092695 2.7945219  2.3659425  2.2       ]",
drivese.t_bedplate,m,[0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05],
drivese.mb1_max_defl_ang,rad,[0.00872665],
drivese.mb2_max_defl_ang,rad,[0.078],
drivese.s_stator,m,[0.15],
drivese.F_mb1,N,"[[ 3510878.82508029]
 [   20128.21083879]
 [-2396780.1019729 ]]",
drivese.F_mb2,N,"[[-0.]
 [-0.]
 [-0.]]",
drivese.M_mb1,N*m,"[[-0.]
 [-0.]
 [-0.]]",
drivese.M_mb2,N*m,"[[      -0.        ]
 [ 2850894.86086686]
 [10068925.74186849]]",
drivese.other_mass,kg,[149109.77398749],
drivese.bedplate_E,Pa,[2.05e+11],
drivese.bedplate_G,Pa,[8.e+10],
drivese.bedplate_Xy,Pa,[4.85e+08],
drivese.lss_spring_constant,N*m/rad,[5.11409396e+10],
drivese.hss_spring_constant,N*m/rad,[0.],
drivese.damping_ratio,,[0.005],
towerse.hub_height,m,[150.],
towerse.tower_height,m,[129.386],
towerse.foundation_height,m,[15.],
towerse.tower_s,,"[0.         0.10047455 0.2009491  0.30142365 0.4018982  0.50237275
 0.60284729 0.70332184 0.80379639 0.90427094 1.        ]",
towerse.member.s_const1,,[0.],
towerse.member.s_const2,,[0.],
towerse.joint1,m,[ 0.  0. 15.],
towerse.joint2,m,[  0.      0.    144.386],
towerse.tower_layer_thickness,m,"[[0.09       0.08705682 0.06969791 0.06659467 0.04896978 0.04562356
  0.02812817 0.02561687 0.00988116 0.00994108 0.00593114]]",
towerse.tower_outer_diameter_in,m,[10.  10.  10.  10.  10.  10.  10.  10.  10.  10.   6.5],
towerse.E_mat,Pa,"[[3.440e+09 3.440e+09 3.440e+09]
 [2.000e+11 2.000e+11 2.000e+11]
 [2.050e+11 2.050e+11 2.050e+11]
 [1.180e+11 1.180e+11 1.180e+11]
 [4.460e+10 1.700e+10 1.670e+10]
 [1.145e+11 8.390e+09 8.390e+09]
 [1.110e+10 1.110e+10 1.670e+10]
 [2.870e+10 1.660e+10 1.670e+10]
 [1.292e+08 1.292e+08 1.292e+08]
 [1.000e+06 1.000e+06 1.000e+06]
 [4.560e+06 4.560e+06 4.560e+06]
 [1.000e+00 1.000e+00 1.000e+00]]",
towerse.E_user,Pa,[0.],
towerse.G_mat,Pa,"[[1.32300000e+09 1.32300000e+09 1.32300000e+09]
 [7.93000000e+10 7.93000000e+10 7.93000000e+10]
 [8.00000000e+10 8.00000000e+10 8.00000000e+10]
 [4.76000000e+10 4.76000000e+10 4.76000000e+10]
 [3.27000000e+09 3.48000000e+09 3.50000000e+09]
 [5.99000000e+09 5.99000000e+09 5.99000000e+09]
 [1.35300000e+10 3.49000000e+09 3.49000000e+09]
 [8.40000000e+09 3.49000000e+09 3.49000000e+09]
 [4.89469697e+07 4.89469697e+07 4.89469697e+07]
 [3.12500000e+05 3.12500000e+05 3.12500000e+05]
 [1.52000000e+06 1.52000000e+06 1.52000000e+06]
 [1.00000000e+00 1.00000000e+00 1.00000000e+00]]",
towerse.sigma_y_mat,Pa,"[0.00e+00 3.45e+08 4.85e+08 2.65e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
 0.00e+00 0.00e+00 0.00e+00 0.00e+00]",
towerse.sigma_ult_mat,Pa,"[[7.400e+01 7.400e+01 7.400e+01]
 [4.500e+08 4.500e+08 4.500e+08]
 [8.140e+08 8.140e+08 8.140e+08]
 [3.100e+08 3.100e+08 3.100e+08]
 [6.092e+08 3.810e+07 1.529e+07]
 [1.546e+09 0.000e+00 0.000e+00]
 [4.290e+07 4.260e+07 1.530e+07]
 [3.960e+08 7.640e+07 1.530e+07]
 [2.083e+06 2.083e+06 2.083e+06]
 [0.000e+00 0.000e+00 0.000e+00]
 [6.900e+05 6.900e+05 6.900e+05]
 [0.000e+00 0.000e+00 0.000e+00]]",
towerse.wohler_exp_mat,,[ 1.   3.   3.   3.  10.  16.1 10.  10.   1.   1.   1.   1. ],
towerse.wohler_A_mat,,"[8.700e+01 4.500e+08 8.140e+08 3.100e+08 6.092e+08 1.546e+09 1.132e+08
 4.489e+08 2.083e+06 0.000e+00 6.900e+05 0.000e+00]",
towerse.rho_mat,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 1100. 5000.],
towerse.unit_cost_mat,USD/kg,[ 7.23  0.7   0.9   0.5   1.87 30.    3.    2.86 13.    3.63  9.    1.  ],
towerse.outfitting_factor_in,,[1.07],
towerse.rho_water,kg/m**3,[0.],
towerse.tower_layer_materials,Unavailable,['steel'],
towerse.member.ballast_materials,Unavailable,[],
towerse.material_names,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'adhesive', 'slurry']",
towerse.member.gc.d,m,[10.  10.  10.  10.  10.  10.  10.  10.  10.  10.   6.5],
towerse.member.gc.t,m,"[0.08852841 0.07837737 0.06814629 0.05778223 0.04729667 0.03687587
 0.02687252 0.01774901 0.00991112 0.00793611]",
towerse.member.s,,"[0.         0.10047455 0.2009491  0.30142365 0.4018982  0.50237275
 0.60284729 0.70332184 0.80379639 0.90427094 1.        ]",
towerse.member.height,m,[129.386],
towerse.tower_outer_diameter,m,[10.  10.  10.  10.  10.  10.  10.  10.  10.  10.   6.5],
towerse.tower_wall_thickness,m,"[0.08852841 0.07837737 0.06814629 0.05778223 0.04729667 0.03687587
 0.02687252 0.01774901 0.00991112 0.00793611]",
towerse.member.E,Pa,[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11],
towerse.member.G,Pa,"[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10]",
towerse.member.sigma_y,Pa,"[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08]",
towerse.member.rho,kg/m**3,[7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.],
towerse.member.unit_cost,USD/kg,[0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7],
towerse.member.outfitting_factor,,[1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07],
towerse.nodes_xyz,m,"[[  0.           0.          15.        ]
 [  0.           0.          19.33333333]
 [  0.           0.          23.66666667]
 [  0.           0.          28.        ]
 [  0.           0.          32.33333333]
 [  0.           0.          36.66666667]
 [  0.           0.          41.        ]
 [  0.           0.          45.33333333]
 [  0.           0.          49.66666667]
 [  0.           0.          54.        ]
 [  0.           0.          58.33333333]
 [  0.           0.          62.66666667]
 [  0.           0.          67.        ]
 [  0.           0.          71.33333333]
 [  0.           0.          75.66666667]
 [  0.           0.          80.        ]
 [  0.           0.          84.33333333]
 [  0.           0.          88.66666667]
 [  0.           0.          93.        ]
 [  0.           0.          97.33333333]
 [  0.           0.         101.66666667]
 [  0.           0.         106.        ]
 [  0.           0.         110.33333333]
 [  0.           0.         114.66666667]
 [  0.           0.         119.        ]
 [  0.           0.         123.33333333]
 [  0.           0.         127.66666667]
 [  0.           0.         132.        ]
 [  0.           0.         136.12866667]
 [  0.           0.         140.25733333]
 [  0.           0.         144.386     ]]",
towerse.s_full,m,"[0.         0.03349152 0.06698303 0.10047455 0.13396607 0.16745758
 0.2009491  0.23444061 0.26793213 0.30142365 0.33491516 0.36840668
 0.4018982  0.43538971 0.46888123 0.50237275 0.53586426 0.56935578
 0.60284729 0.63633881 0.66983033 0.70332184 0.73681336 0.77030488
 0.80379639 0.83728791 0.87077942 0.90427094 0.93618063 0.96809031
 1.        ]",
towerse.z_full,m,"[  0.           4.33333333   8.66666667  13.          17.33333333
  21.66666667  26.          30.33333333  34.66666667  39.
  43.33333333  47.66666667  52.          56.33333333  60.66666667
  65.          69.33333333  73.66666667  78.          82.33333333
  86.66666667  91.          95.33333333  99.66666667 104.
 108.33333333 112.66666667 117.         121.12866667 125.25733333
 129.386     ]",
towerse.d_full,m,"[10.         10.         10.         10.         10.         10.
 10.         10.         10.         10.         10.         10.
 10.         10.         10.         10.         10.         10.
 10.         10.         10.         10.         10.         10.
 10.         10.         10.         10.          8.83333333  7.66666667
  6.5       ]",
towerse.member.s_ghost1,,[0.],
towerse.member.s_ghost2,,[1.],
towerse.t_full,m,"[0.08852841 0.08852841 0.08852841 0.07837737 0.07837737 0.07837737
 0.06814629 0.06814629 0.06814629 0.05778223 0.05778223 0.05778223
 0.04729667 0.04729667 0.04729667 0.03687587 0.03687587 0.03687587
 0.02687252 0.02687252 0.02687252 0.01774901 0.01774901 0.01774901
 0.00991112 0.00991112 0.00991112 0.00793611 0.00793611 0.00793611]",
towerse.E_full,Pa,"[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11]",
towerse.G_full,Pa,"[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10]",
towerse.sigma_y_full,Pa,"[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08]",
towerse.rho_full,kg/m**3,"[7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800.]",
towerse.outfitting_full,,"[1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07]",
towerse.member.unit_cost_full,USD/kg,"[0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7
 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7]",
towerse.labor_cost_rate,USD/min,[0.98],
towerse.painting_cost_rate,USD/m**2,[30.],
towerse.rna_mass,kg,[953284.49414057],
towerse.rna_I,kg*m**2,"[3.77844489e+08 2.56093202e+08 2.37603670e+08 7.86163564e+02
 1.45044899e+07 1.70976373e+05]",
towerse.rna_cg,m,[-6.54516848 -0.09913235  4.52216794],
towerse.tower_mass,kg,[1483073.63407409],
towerse.tower_center_of_mass,m,[41.67331385],
towerse.tower_I_base,kg*m**2,"[3.94943699e+09 3.94943699e+09 3.64741799e+07 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
towerse.env.Uref,m/s,[19.69997014],
towerse.wind_reference_height,m,[150.],
towerse.z0,m,[0.],
towerse.shearExp,,[0.12],
towerse.env.windLoads.U,m/s,"[ 0.         12.87517879 13.99190565 14.68952725 15.20549166 15.61815286
 15.96362137 16.26166587 16.52433789 16.75955062 16.9727912  17.16802712
 17.34822388 17.51565856 17.67211922 17.81903659 17.95757407 18.08869096
 18.21318794 18.33174049 18.44492391 18.55323237 18.65709359 18.75688038
 18.85291969 18.94549992 19.0348768  19.1212782  19.20101775 19.27840041
 19.35357016]",
towerse.beta_wind,deg,[0.],
towerse.rho_air,kg/m**3,[1.225],
towerse.mu_air,kg/m/s,[1.81e-05],
towerse.cd_usr,,[-1.],
towerse.env.distLoads.windLoads_Px,N/m,"[   0.          712.52980737  839.759338    925.1714096   991.44076235
 1046.41183598 1093.81912928 1135.75964752 1173.53900239 1208.0301387
 1239.84809514 1269.44396657 1297.15930849 1323.25951453 1347.95527
 1371.41687992 1393.78415077 1415.1733944  1435.68251074 1455.3947525
 1474.38156456 1492.70475975 1510.41821026 1527.56917926 1544.19938151
 1560.3458371  1576.04156507 1591.31615217 1401.57709342 1221.66663694
 1047.29370023]",
towerse.env.distLoads.windLoads_Py,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.windLoads_Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.windLoads_qdyn,N/m**2,"[  0.         101.53426517 119.91122205 132.16660405 141.61427326
 149.40510294 156.08778947 161.97058832 167.24541748 172.04055397
 176.44633016 180.5289576  184.33853391 187.91395562 191.28607617
 194.47981478 197.5156107  200.41045369 203.17863171 205.83228452
 208.38182105 210.83623916 213.20337411 215.49009405 217.70245576
 219.84582986 221.92500256 223.94425902 225.81593823 227.63974236
 229.41841524]",
towerse.env.distLoads.windLoads_z,m,"[  0.           4.33333333   8.66666667  13.          17.33333333
  21.66666667  26.          30.33333333  34.66666667  39.
  43.33333333  47.66666667  52.          56.33333333  60.66666667
  65.          69.33333333  73.66666667  78.          82.33333333
  86.66666667  91.          95.33333333  99.66666667 104.
 108.33333333 112.66666667 117.         121.12866667 125.25733333
 129.386     ]",
towerse.env.distLoads.windLoads_beta,deg,[0.],
towerse.env.distLoads.waveLoads_Px,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_Py,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_qdyn,N/m**2,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_z,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_beta,deg,[0.],
towerse.yaw,deg,[0.],
towerse.s_all,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.Px_global,N/m,"[   0.          712.52980737  839.759338    925.1714096   991.44076235
 1046.41183598 1093.81912928 1135.75964752 1173.53900239 1208.0301387
 1239.84809514 1269.44396657 1297.15930849 1323.25951453 1347.95527
 1371.41687992 1393.78415077 1415.1733944  1435.68251074 1455.3947525
 1474.38156456 1492.70475975 1510.41821026 1527.56917926 1544.19938151
 1560.3458371  1576.04156507 1591.31615217 1401.57709342 1221.66663694
 1047.29370023]",
towerse.g2e.Py_global,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.Pz_global,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.qdyn_global,Pa,"[  0.         101.53426517 119.91122205 132.16660405 141.61427326
 149.40510294 156.08778947 161.97058832 167.24541748 172.04055397
 176.44633016 180.5289576  184.33853391 187.91395562 191.28607617
 194.47981478 197.5156107  200.41045369 203.17863171 205.83228452
 208.38182105 210.83623916 213.20337411 215.49009405 217.70245576
 219.84582986 221.92500256 223.94425902 225.81593823 227.63974236
 229.41841524]",
